a	(-AH0_)
aaa	(T R-IH2_)(P-AH0_)(L-EY1_Y)
aaberg	(-AA1_)(B-ER0_G)
aachen	(-AA1_)(K-AH0_N)
aaker	(-AA1_)(K-ER0_)
aalseth	(-AA1_L)(S-EH0_TH)
aamodt	(-AA1_)(M-AH0_T)
aancor	(-AA1_N)(K-AO2_R)
aardema	(-AA0_R)(D-EH1_)(M-AH0_)
aardvark	(-AA1_R D)(V-AA2_RK)
aaron	(-EH1_)(R-AH0_N)
aarons	(-EH1_)(R-AH0_N Z)
aaronson	(-EH1_)(R-AH0_N)(S-AH0_N)
aarti	(-AA1_R)(T-IY2_Y)
aase	(-AA1_S)
aasen	(-AA1_)(S-AH0_N)
ab	(-AE1_B)
ababa	(-AH0_)(B-AA1_)(B-AH0_)
abacha	(-AE1_)(B-AH0_)(K-AH0_)
aback	(-AH0_)(B-AE1_K)
abaco	(-AE1_)(B-AH0_)(K-OW2_W)
abacus	(-AE1_)(B-AH0_)(K-AH0_S)
abad	(-AH0_)(B-AA1_D)
abadaka	(-AH0_)(B-AE1_)(D-AH0_)(K-AH0_)
abadi	(-AH0_)(B-AE1_)(D-IY0_Y)
abadie	(-AH0_)(B-AE1_)(D-IY0_Y)
abair	(-AH0_)(B-EH1_R)
abalkin	(-AH0_)(B-AA1_L)(K-IH0_N)
abalone	(-AE2_)(B-AH0_)(L-OW1_W)(N-IY0_Y)
abalos	(-AA0_)(B-AA1_)(L-OW0_W Z)
abandon	(-AH0_)(B-AE1_N)(D-AH0_N)
abandoned	(-AH0_)(B-AE1_N)(D-AH0_N D)
abandoning	(-AH0_)(B-AE1_N)(D-AH0_)(N-IH0_NX)
abandonment	(-AH0_)(B-AE1_N)(D-AH0_N)(M-AH0_N T)
abandonments	(-AH0_)(B-AE1_N)(D-AH0_N)(M-AH0_N T S)
abandons	(-AH0_)(B-AE1_N)(D-AH0_N Z)
abanto	(-AH0_)(B-AE1_N)(T-OW0_W)
abarca	(-AH0_)(B-AA1_R)(K-AH0_)
abare	(-AA0_)(B-AA1_)(R-IY0_Y)
abascal	(-AE1_)(B-AH0_)(S K-AH0_L)
abash	(-AH0_)(B-AE1_SH)
abashed	(-AH0_)(B-AE1_SH T)
abate	(-AH0_)(B-EY1_Y T)
abated	(-AH0_)(B-EY1_Y)(T-IH0_D)
abatement	(-AH0_)(B-EY1_Y T)(M-AH0_N T)
abatements	(-AH0_)(B-EY1_Y T)(M-AH0_N T S)
abates	(-AH0_)(B-EY1_Y T S)
abating	(-AH0_)(B-EY1_Y)(T-IH0_NX)
abba	(-AE1_)(B-AH0_)
abbado	(-AH0_)(B-AA1_)(D-OW0_W)
abbas	(-AH0_)(B-AA1_S)
abbasi	(-AA0_)(B-AA1_)(S-IY0_Y)
abbate	(-AA1_)(B-EY0_Y T)
abbatiello	(-AA0_)(B-AA0_)(T-IY0_Y)(-EH1_)(L-OW0_W)
abbe	(-AE1_)(B-IY0_Y)
abbenhaus	(-AE1_)(B-AH0_N)(HH-AA2_W S)
abbett	(-AH0_)(B-EH1_T)
abbeville	(-AE1_B)(V-IH0_L)
abbey	(-AE1_)(B-IY0_Y)
abbie	(-AE1_)(B-IY0_Y)
abbitt	(-AE1_)(B-IH0_T)
abbot	(-AE1_)(B-AH0_T)
abbott	(-AE1_)(B-AH0_T)
abboud	(-AH0_)(B-UW1_W D)
abbreviate	(-AH0_)(B R-IY1_Y)(V-IY0_Y)(-EY2_Y T)
abbreviated	(-AH0_)(B R-IY1_Y)(V-IY0_Y)(-EY2_Y)(T-AH0_D)
abbreviates	(-AH0_)(B R-IY1_Y)(V-IY0_Y)(-EY2_Y T S)
abbreviating	(-AH0_)(B R-IY1_Y)(V-IY0_Y)(-EY2_Y)(T-IH0_NX)
abbreviation	(-AH0_)(B R-IY2_Y)(V-IY0_Y)(-EY1_Y)(SH-AH0_N)
abbreviations	(-AH0_)(B R-IY2_Y)(V-IY0_Y)(-EY1_Y)(SH-AH0_N Z)
abbruzzese	(-AA0_)(B R-UW0_W T)(S-EY1_Y)(Z-IY0_Y)
abbs	(-AE1_B Z)
abby	(-AE1_)(B-IY0_Y)
abco	(-AE1_B)(K-OW0_W)
abcotek	(-AE1_B)(K-OW0_W)(T-EH2_K)
abdalla	(-AE2_B)(D-AE1_)(L-AH0_)
abdallah	(-AE2_B)(D-AE1_)(L-AH0_)
abdel	(-AE1_B)(D-EH2_L)
abdella	(-AE2_B)(D-EH1_)(L-AH0_)
abdicate	(-AE1_B)(D-AH0_)(K-EY2_Y T)
abdicated	(-AE1_B)(D-AH0_)(K-EY2_Y)(T-AH0_D)
abdicates	(-AE1_B)(D-AH0_)(K-EY2_Y T S)
abdicating	(-AE1_B)(D-IH0_)(K-EY2_Y)(T-IH0_NX)
abdication	(-AE2_B)(D-IH0_)(K-EY1_Y)(SH-AH0_N)
