a	(-AH_)
aaa	(TR-IH_)(P-AH_)(L-EY_)
aaberg	(-AA_)(B-ER_G)
aachen	(-AA_)(K-AH_N)
aaker	(-AA_)(K-ER_)
aalseth	(-AA_L)(S-EH_TH)
aamodt	(-AA_)(M-AH_T)
aancor	(-AA_N)(K-AO_R)
aardema	(-AA_R)(D-EH_)(M-AH_)
aardvark	(-AA_RD)(V-AA_RK)
aaron	(-EH_)(R-AH_N)
aarons	(-EH_)(R-AH_NZ)
aaronson	(-EH_)(R-AH_N)(S-AH_N)
aarti	(-AA_R)(T-IY_)
aase	(-AA_S)
aasen	(-AA_)(S-AH_N)
ab	(-AE_B)
ababa	(-AH_)(B-AA_)(B-AH_)
abacha	(-AE_)(B-AH_)(K-AH_)
aback	(-AH_)(B-AE_K)
abaco	(-AE_)(B-AH_)(K-OW_)
abacus	(-AE_)(B-AH_)(K-AH_S)
abad	(-AH_)(B-AA_D)
abadaka	(-AH_)(B-AE_)(D-AH_)(K-AH_)
abadi	(-AH_)(B-AE_)(D-IY_)
abadie	(-AH_)(B-AE_)(D-IY_)
abair	(-AH_)(B-EH_R)
abalkin	(-AH_)(B-AA_L)(K-IH_N)
abalone	(-AE_)(B-AH_)(L-OW_)(N-IY_)
abalos	(-AA_)(B-AA_)(L-OW_Z)
abandon	(-AH_)(B-AE_N)(D-AH_N)
abandoned	(-AH_)(B-AE_N)(D-AH_ND)
abandoning	(-AH_)(B-AE_N)(D-AH_)(N-IH_NG)
abandonment	(-AH_)(B-AE_N)(D-AH_N)(M-AH_NT)
abandonments	(-AH_)(B-AE_N)(D-AH_N)(M-AH_NTS)
abandons	(-AH_)(B-AE_N)(D-AH_NZ)
abanto	(-AH_)(B-AE_N)(T-OW_)
abarca	(-AH_)(B-AA_R)(K-AH_)
abare	(-AA_)(B-AA_)(R-IY_)
abascal	(-AE_)(B-AH_)(SK-AH_L)
abash	(-AH_)(B-AE_SH)
abashed	(-AH_)(B-AE_SHT)
abate	(-AH_)(B-EY_T)
abated	(-AH_)(B-EY_)(T-IH_D)
abatement	(-AH_)(B-EY_T)(M-AH_NT)
abatements	(-AH_)(B-EY_T)(M-AH_NTS)
abates	(-AH_)(B-EY_TS)
abating	(-AH_)(B-EY_)(T-IH_NG)
abba	(-AE_)(B-AH_)
abbado	(-AH_)(B-AA_)(D-OW_)
abbas	(-AH_)(B-AA_S)
abbasi	(-AA_)(B-AA_)(S-IY_)
abbate	(-AA_)(B-EY_T)
abbatiello	(-AA_)(B-AA_)(T-IY_)(-EH_)(L-OW_)
abbe	(-AE_)(B-IY_)
abbenhaus	(-AE_)(B-AH_N)(HH-AW_S)
abbett	(-AH_)(B-EH_T)
abbeville	(-AE_B)(V-IH_L)
abbey	(-AE_)(B-IY_)
abbie	(-AE_)(B-IY_)
abbitt	(-AE_)(B-IH_T)
abbot	(-AE_)(B-AH_T)
abbott	(-AE_)(B-AH_T)
abboud	(-AH_)(B-UW_D)
abbreviate	(-AH_)(BR-IY_)(V-IY_)(-EY_T)
abbreviated	(-AH_)(BR-IY_)(V-IY_)(-EY_)(T-AH_D)
abbreviates	(-AH_)(BR-IY_)(V-IY_)(-EY_TS)
abbreviating	(-AH_)(BR-IY_)(V-IY_)(-EY_)(T-IH_NG)
abbreviation	(-AH_)(BR-IY_)(V-IY_)(-EY_)(SH-AH_N)
abbreviations	(-AH_)(BR-IY_)(V-IY_)(-EY_)(SH-AH_NZ)
abbruzzese	(-AA_)(BR-UW_T)(S-EY_)(Z-IY_)
abbs	(-AE_BZ)
abby	(-AE_)(B-IY_)
abco	(-AE_B)(K-OW_)
abcotek	(-AE_B)(K-OW_)(T-EH_K)
abdalla	(-AE_B)(D-AE_)(L-AH_)
abdallah	(-AE_B)(D-AE_)(L-AH_)
abdel	(-AE_B)(D-EH_L)
abdella	(-AE_B)(D-EH_)(L-AH_)
abdicate	(-AE_B)(D-AH_)(K-EY_T)
abdicated	(-AE_B)(D-AH_)(K-EY_)(T-AH_D)
abdicates	(-AE_B)(D-AH_)(K-EY_TS)
abdicating	(-AE_B)(D-IH_)(K-EY_)(T-IH_NG)
abdication	(-AE_B)(D-IH_)(K-EY_)(SH-AH_N)
abdnor	(-AE_BD)(N-ER_)
abdo	(-AE_B)(D-OW_)
abdollah	(-AE_B)(D-AA_)(L-AH_)
abdomen	(-AE_B)(D-OW_)(M-AH_N)
abdominal	(-AE_B)(D-AA_)(M-AH_)(N-AH_L)
abduct	(-AE_B)(D-AH_KT)
abducted	(-AE_B)(D-AH_K)(T-IH_D)
abductee	(-AE_B)(D-AH_K)(T-IY_)
abductees	(-AE_B)(D-AH_K)(T-IY_Z)
abducting	(-AE_B)(D-AH_K)(T-IH_NG)
abduction	(-AE_B)(D-AH_K)(SH-AH_N)
abductions	(-AE_B)(D-AH_K)(SH-AH_NZ)
abductor	(-AE_B)(D-AH_K)(T-ER_)
abductors	(-AE_B)(D-AH_K)(T-ER_Z)
abducts	(-AE_B)(D-AH_KTS)
abdul	(-AE_B)(D-UW_L)
abdulaziz	(-AE_B)(D-UW_)(L-AH_)(Z-IY_Z)
abdulla	(-AA_B)(D-UW_)(L-AH_)
abdullah	(-AE_B)(D-AH_)(L-AH_)
abe	(-EY_B)
abed	(-AH_)(B-EH_D)
abedi	(-AH_)(B-EH_)(D-IY_)
abee	(-AH_)(B-IY_)
abel	(-EY_)(B-AH_L)
abela	(-AA_)(B-EH_)(L-AH_)
abelard	(-AE_)(B-IH_)(L-ER_D)
abele	(-AH_)(B-IY_L)
abeles	(-AH_)(B-IY_LZ)
abell	(-EY_)(B-AH_L)
abella	(-AH_)(B-EH_)(L-AH_)
abeln	(-AE_)(B-IH_LN)
abelow	(-AE_)(B-AH_)(L-OW_)
abels	(-EY_)(B-AH_LZ)
abelson	(-AE_)(B-IH_L)(S-AH_N)
abend	(-AE_)(B-EH_ND)
abendroth	(-AE_)(B-IH_N)(DR-AO_TH)
aber	(-EY_)(B-ER_)
abercrombie	(-AE_)(B-ER_)(KR-AA_M)(B-IY_)
aberdeen	(-AE_)(B-ER_)(D-IY_N)
aberford	(-EY_)(B-ER_)(F-ER_D)
aberg	(-AE_)(B-ER_G)
aberle	(-AE_)(B-ER_)(-AH_L)
abermin	(-AE_)(B-ER_)(M-IH_N)
abernathy	(-AE_)(B-ER_)(N-AE_)(TH-IY_)
abernethy	(-AE_)(B-ER_)(N-EH_)(TH-IY_)
aberrant	(-AE_)(B-EH_)(R-AH_NT)
aberration	(-AE_)(B-ER_)(-EY_)(SH-AH_N)
aberrational	(-AE_)(B-ER_)(-EY_)(SH-AH_)(N-AH_L)
aberrations	(-AE_)(B-ER_)(-EY_)(SH-AH_NZ)
abert	(-AE_)(B-ER_T)
abet	(-AH_)(B-EH_T)
abetted	(-AH_)(B-EH_)(T-IH_D)
abetting	(-AH_)(B-EH_)(T-IH_NG)
abex	(-EY_)(B-EH_KS)
abeyance	(-AH_)(B-EY_)(-AH_NS)
abeyta	(-AA_)(B-EY_)(T-AH_)
abhor	(-AE_B)(HH-AO_R)
abhorred	(-AH_B)(HH-AO_RD)
abhorrence	(-AH_B)(HH-AO_)(R-AH_NS)
abhorrent	(-AE_B)(HH-AO_)(R-AH_NT)
abhors	(-AH_B)(HH-AO_RZ)
abid	(-EY_)(B-IH_D)
abide	(-AH_)(B-AY_D)
abided	(-AH_)(B-AY_)(D-IH_D)
abides	(-AH_)(B-AY_DZ)
abiding	(-AH_)(B-AY_)(D-IH_NG)
abie	(-AE_)(B-IY_)
abigail	(-AE_)(B-AH_)(G-EY_L)
abila	(-AA_)(B-IY_)(L-AH_)
abilene	(-AE_)(B-IH_)(L-IY_N)
abilities	(-AH_)(B-IH_)(L-AH_)(T-IY_Z)
ability	(-AH_)(B-IH_)(L-AH_)(T-IY_)
abington	(-AE_)(B-IH_NG)(T-AH_N)
abio	(-AA_)(B-IY_)(-OW_)
abiola	(-AA_)(B-IY_)(-OW_)(L-AH_)
abiomed	(-EY_)(B-IY_)(-AH_)(M-EH_D)
abitibi	(-AE_)(B-IH_)(T-IY_)(B-IY_)
abitz	(-AE_)(B-IH_TS)
abject	(-AE_B)(JH-EH_KT)
abkhazia	(-AE_BK)(HH-AA_Z)(Y-AH_)
abkhazian	(-AE_BK)(HH-AA_)(Z-IY_)(-AH_N)
abkhazians	(-AE_BK)(HH-AA_)(Z-IY_)(-AH_NZ)
ablaze	(-AH_)(BL-EY_Z)
able	(-EY_)(B-AH_L)
abled	(-EY_)(B-AH_LD)
abler	(-EY_)(B-AH_)(L-ER_)
ables	(-EY_)(B-AH_LZ)
ablest	(-EY_)(B-AH_LST)
abloom	(-AH_)(BL-UW_M)
ably	(-EY_)(BL-IY_)
abner	(-AE_B)(N-ER_)
abney	(-AE_B)(N-IY_)
abnormal	(-AE_B)(N-AO_R)(M-AH_L)
