a	(-A0_)
aba	(-A0_)(B-A0_)
ababol	(-A0_)(B-A0_)(B-O0_L )
abacero	(-A0_)(B-A0_)(S-E0_)(R-O0_)
abad	(-A0_)(B-A0_D )
abadejo	(-A0_)(B-A0_)(D-E0_X)(-O0_)
abadengo	(-A0_)(B-A0_)(D-E0_NG)(G-O0_)
abadernar	(-A0_)(B-A0_)(D-E0_R)(N-A0_R )
abaderne	(-A0_)(B-A0_)(D-E0_R)(N-E0_)
abadesa	(-A0_)(B-A0_)(D-E0_)(S-A0_)
abadiato	(-A0_)(B-A0_)(D-I0_)(-A0_)(T-O0_)
abadía	(-A0_)(B-A0_)(D-I1_)(-A0_)
abajadero	(-A0_)(B-A0_X)(-A0_)(D-E0_)(R-O0_)
abajar	(-A0_)(B-A0_X)(-A0_R )
abalanzar	(-A0_)(B-A0_)(L-A0_N)(Z-A0_R )
abaldonar	(-A0_)(B-A0_L)(D-O0_)(N-A0_R )
aballar	(-A0_)(B-A0_LL)(-A0_R )
aballe	(-A0_)(B-A0_LL)(-E0_)
aballestar	(-A0_)(B-A0_LL)(-E0_S)(T-A0_R )
aballeste	(-A0_)(B-A0_LL)(-E0_S)(T-E0_)
abalorio	(-A0_)(B-A0_)(L-O0_)(R-I0_)(-O0_)
abaluartar	(-A0_)(B-A0_)(L-U0_)(-A0_R)(T-A0_R )
abaluarte	(-A0_)(B-A0_)(L-U0_)(-A0_R)(T-E0_)
abanar	(-A0_)(B-A0_)(N-A0_R )
abancalar	(-A0_)(B-A0_NG)(K-A0_)(L-A0_R )
abancale	(-A0_)(B-A0_NG)(K-A0_)(L-E0_)
abanderar	(-A0_)(B-A0_N)(D-E0_)(R-A0_R )
abandere	(-A0_)(B-A0_N)(D-E0_)(R-E0_)
abandonar	(-A0_)(B-A0_N)(D-O0_)(N-A0_R )
abandone	(-A0_)(B-A0_N)(D-O0_)(N-E0_)
abandonismo	(-A0_)(B-A0_N)(D-O0_)(N-I0_S)(M-O0_)
abandonista	(-A0_)(B-A0_N)(D-O0_)(N-I0_S)(T-A0_)
abandono	(-A0_)(B-A0_N)(D-O0_)(N-O0_)
abane	(-A0_)(B-A0_)(N-E0_)
abanica	(-A0_)(B-A0_)(N-I0_)(K-A0_)
abanicar	(-A0_)(B-A0_)(N-I0_)(K-A0_R )
abanico	(-A0_)(B-A0_)(N-I0_)(K-O0_)
abaniqueo	(-A0_)(B-A0_)(N-I0_)(-K0_)(-E0_)(-O0_)
abaniquero	(-A0_)(B-A0_)(N-I0_)(-K0_)(-E0_)(R-O0_)
abano	(-A0_)(B-A0_)(N-O0_)
abanto	(-A0_)(B-A0_N)(T-O0_)
abaratar	(-A0_)(B-A0_)(R-A0_)(T-A0_R )
abarate	(-A0_)(B-A0_)(R-A0_)(T-E0_)
abarbetar	(-A0_)(B-A0_R)(B-E0_)(T-A0_R )
abarbete	(-A0_)(B-A0_R)(B-E0_)(T-E0_)
abarca	(-A0_)(B-A0_R)(K-A0_)
abarcable	(-A0_)(B-A0_R)(K-A0_B)(L-E0_)
abarcador	(-A0_)(B-A0_R)(K-A0_)(D-O0_R )
abarcar	(-A0_)(B-A0_R)(K-A0_R )
abarcuce	(-A0_)(B-A0_R)(K-U0_)(S-E0_)
abarcuzar	(-A0_)(B-A0_R)(K-U0_)(Z-A0_R )
abarcuzo	(-A0_)(B-A0_R)(K-U0_)(Z-O0_)
abarquillar	(-A0_)(B-A0_)(R-K0_)(-I0_LL)(-A0_R )
abarquille	(-A0_)(B-A0_)(R-K0_)(-I0_LL)(-E0_)
abarracar	(-A0_)(B-A0_RR)(-A0_)(K-A0_R )
abarraganar	(-A0_)(B-A0_RR)(-A0_)(G-A0_)(N-A0_R )
abarrajar	(-A0_)(B-A0_RR)(-A0_X)(-A0_R )
abarraje	(-A0_)(B-A0_RR)(-A0_X)(-E0_)
abarranca	(-A0_)(B-A0_RR)(-A0_NG)(K-A0_)
abarrancaba	(-A0_)(B-A0_RR)(-A0_NG)(K-A0_)(B-A0_)
abarrancaban	(-A0_)(B-A0_RR)(-A0_NG)(K-A0_)(B-A0_N )
abarrancada	(-A0_)(B-A0_RR)(-A0_NG)(K-A0_)(D-A0_)
abarrancadero	(-A0_)(B-A0_RR)(-A0_NG)(K-A0_)(D-E0_)(R-O0_)
abarrancado	(-A0_)(B-A0_RR)(-A0_NG)(K-A0_)(D-O0_)
abarrancamos	(-A0_)(B-A0_RR)(-A0_NG)(K-A0_)(M-O0_S )
abarrancan	(-A0_)(B-A0_RR)(-A0_NG)(K-A0_N )
abarrancando	(-A0_)(B-A0_RR)(-A0_NG)(K-A0_N)(D-O0_)
abarrancar	(-A0_)(B-A0_RR)(-A0_NG)(K-A0_R )
abarrancara	(-A0_)(B-A0_RR)(-A0_NG)(K-A0_)(R-A0_)
abarrancaran	(-A0_)(B-A0_RR)(-A0_NG)(K-A0_)(R-A0_N )
abarrancare	(-A0_)(B-A0_RR)(-A0_NG)(K-A0_)(R-E0_)
abarrancaren	(-A0_)(B-A0_RR)(-A0_NG)(K-A0_)(R-E0_N )
abarrancaron	(-A0_)(B-A0_RR)(-A0_NG)(K-A0_)(R-O0_N )
abarrancarse	(-A0_)(B-A0_RR)(-A0_NG)(K-A0_R)(S-E0_)
abarrancará	(-A0_)(B-A0_RR)(-A0_NG)(K-A0_)(R-A1_)
abarrancarán	(-A0_)(B-A0_RR)(-A0_NG)(K-A0_)(R-A1_N )
abarrancarás	(-A0_)(B-A0_RR)(-A0_NG)(K-A0_)(R-A1_S )
abarrancaré	(-A0_)(B-A0_RR)(-A0_NG)(K-A0_)(R-E1_)
abarrancaría	(-A0_)(B-A0_RR)(-A0_NG)(K-A0_)(R-I1_)(-A0_)
abarrancarían	(-A0_)(B-A0_RR)(-A0_NG)(K-A0_)(R-I1_)(-A0_N )
abarrancas	(-A0_)(B-A0_RR)(-A0_NG)(K-A0_S )
abarrancase	(-A0_)(B-A0_RR)(-A0_NG)(K-A0_)(S-E0_)
abarrancasen	(-A0_)(B-A0_RR)(-A0_NG)(K-A0_)(S-E0_N )
abarrancaste	(-A0_)(B-A0_RR)(-A0_NG)(K-A0_S)(T-E0_)
abarranco	(-A0_)(B-A0_RR)(-A0_NG)(K-O0_)
abarrancó	(-A0_)(B-A0_RR)(-A0_NG)(K-O1_)
abarranque	(-A0_)(B-A0_RR)(-A0_NG)(-K0_)(-E0_)
abarranquemos	(-A0_)(B-A0_RR)(-A0_NG)(-K0_)(-E0_)(M-O0_S )
abarranquen	(-A0_)(B-A0_RR)(-A0_NG)(-K0_)(-E0_N )
abarranqué	(-A0_)(B-A0_RR)(-A0_NG)(-K0_)(-E1_)
abarrar	(-A0_)(B-A0_RR)(-A0_R )
abarrenar	(-A0_)(B-A0_RR)(-E0_)(N-A0_R )
abarrer	(-A0_)(B-A0_RR)(-E0_R )
abarrotar	(-A0_)(B-A0_RR)(-O0_)(T-A0_R )
abarrote	(-A0_)(B-A0_RR)(-O0_)(T-E0_)
abarse	(-A0_)(B-A0_R)(S-E0_)
abastece	(-A0_)(B-A0_S)(T-E0_)(S-E0_)
abastecedor	(-A0_)(B-A0_S)(T-E0_)(S-E0_)(D-O0_R )
abastecen	(-A0_)(B-A0_S)(T-E0_)(S-E0_N )
